Date,Trip_Count
2024-03-31,27117
2024-04-01,67259
2024-04-02,67744
2024-04-03,68641
2024-04-04,67782
2024-04-05,67887
2024-04-06,36770
2024-04-07,29090
2024-04-08,71588
2024-04-09,72476
2024-04-10,59337
2024-04-11,56476
2024-04-12,72048
2024-04-13,28390
2024-04-14,21455
2024-04-15,51216
2024-04-16,49760
2024-04-17,48074
2024-04-18,45408
2024-04-19,43042
2024-04-20,22681
2024-04-21,17011
2024-04-22,40183
2024-04-23,38584
2024-04-24,36994
2024-04-25,34534
2024-04-26,32661
2024-04-27,16739
2024-04-28,12481
2024-04-29,38576
2024-04-30,36467
2024-05-01,33450
2024-05-02,24300
2024-05-03,32318
2024-05-04,17351
2024-05-05,13559
2024-05-06,33444
2024-05-07,25232
2024-05-08,25101
2024-05-09,32606
2024-05-10,32248
2024-05-11,17374
2024-05-12,13602
2024-05-13,33369
2024-05-14,24969
2024-05-15,25143
2024-05-16,24538
2024-05-17,24281
2024-05-18,12999
2024-05-19,10191
2024-05-20,24878
2024-05-21,25046
2024-05-22,24991
2024-05-23,24421
2024-05-24,24198
2024-05-25,12857
2024-05-26,10173
2024-05-27,25025
2024-05-28,24978
2024-05-29,25050
2024-05-30,24643
2024-05-31,24162
2024-06-01,12995
2024-06-02,10243
2024-06-03,25089
2024-06-04,25102
2024-06-05,24994
2024-06-06,24402
2024-06-07,24111
2024-06-08,12893
2024-06-09,13537
2024-06-10,33428
2024-06-11,24896
2024-06-12,33421
2024-06-13,32610
2024-06-14,32174
2024-06-15,12932
2024-06-16,10086
2024-06-17,25192
2024-06-18,24294
2024-06-19,24542
2024-06-20,22580
2024-06-21,22416
2024-06-22,12139
2024-06-23,9538
2024-06-24,22325
2024-06-25,22351
2024-06-26,22494
2024-06-27,21841
2024-06-28,21445
2024-06-29,11810
2024-06-30,9146
2024-07-01,22496
2024-07-02,22437
2024-07-03,22228
2024-07-04,29251
2024-07-05,28820
2024-07-06,15394
2024-07-07,11888
2024-07-08,29911
2024-07-09,29797
2024-07-10,29048
2024-07-11,28224
2024-07-12,28058
2024-07-13,15076
2024-07-14,8837
2024-07-15,29071
2024-07-16,29136
2024-07-17,29188
2024-07-18,28420
2024-07-19,27997
2024-07-20,15105
2024-07-21,11720
2024-07-22,29182
2024-07-23,29007
2024-07-24,29164
2024-07-25,21197
2024-07-26,20898
